"","spends.totexp","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67"
"-3","totexp","food_1","food_2","food_3","food_4","food_5","food_6","food_7","food_8","food_9","food_10","food_11","food_12","food_13","food_14","food_15","food_16","food_17","food_18","food_19","food_20","food_21","food_22","food_23","food_24","food_25","food_26","food_27","food_28","food_29","food_30","food_31","food_32","food_33","food_34","food_35","food_36","food_37","food_38","food_39","food_40","food_41","food_42","food_43","food_44","food_45","food_46","food_47","food_48","food_49","food_50","food_51","food_52","food_53","food_54","food_55","food_56","food_57","food_58","food_59","food_60","food_61","food_62","food_63","food_64","food_65","food_66","food_67"
"-2","totexp","2015014495","2016010317","2016011222","2016013000","2016014336","2016014344","2016014361","2016014370","2016014382","2016014397","2016014407","2016014409","2016014411","2016014412","2016014439","2016014440","2016014442","2016014472","2016014484","2016014488","2016014490","2016014495","2016014497","2016014516","2016014519","2016014541","2016014547","2015010836","2015014506","2016010729","2016011199","2016011334","2016014323","2016014325","2016014333","2016014355","2016014378","2016014380","2016014381","2016014390","2016014396","2016014399","2016014400","2016014402","2016014423","2016014430","2016014431","2016014493","2016014501","2016014502","2016014517","2016014518","2016014525","2016014530","2016014532","2016014545","2016014556","2016000001","2016000002","2016000003","2016000004","2016000005","2016000006","2016000007","2016000008","2016000009","2016000010"
"-1","totexp","¡ı¡’","Õı—©√˜","∫´À´»","»Œ≥©","ª∆“’Êº","∏ﬂ‘Û¥®","»Œ∑…∏Î","∂≈—Ù","π˘±ÚË°","‘≠Â˚ƒ»","¥ﬁ≈Ù¿ı","¥ﬁ¥ª∫∆","¡Œ“„","’‘∑·‘∞","Œ‚∑…∑´","”⁄≥øÍÿ","π˘Œı¡Ÿ","¡ıπ⁄”Ó","ÃÔÕ¡È","¿ÓŸª","≤‹÷ Õø","Õı∂´±±","÷‹Ã⁄∑…","’‘—©»Ô","“¶‚˘ÕÆ","≥Ã‚˘∑´","¡ı–¿»ª","≤‹·ø","“◊÷“≤©","≈£Ïœ±Û","Õı—≈¿Ú","¡∫À≥«ø","’≈»ÿ","¿Ó—≈È™","Ã’Ÿ•","ø‹—”∑º","¿Ó¡¡","⁄€À≥","’≈”¬≥¨","ÕÚÌµ","ÃÔˆ©","Œ∫¥∫¿÷","¿Óﬁ»–ƒ","π˘Â´Œƒ","–§Œ≠","∑∂Ω≠”Í","≤ÒÁ˜","¡ı‘Ûª™","¡÷‰¯«‡","ª™ÃÏ≥ø","—¶≤©Á¸","π∂”Íù˜","”⁄∫∆","…Í∞ÿ»™","¿Ó¡ı—Û","¡ı—Â¡Ê","Ω™‘∆…≠","—ß…˙1","—ß…˙2","—ß…˙3","—ß…˙4","—ß…˙5","—ß…˙6","—ß…˙7","—ß…˙8","—ß…˙9","—ß…˙10"
"0","totexp","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1601","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","±£œ’1602","÷ÿ–ﬁ∏˙∞‡","÷ÿ–ﬁ∏˙∞‡","÷ÿ–ﬁ∏˙∞‡","÷ÿ–ﬁ∏˙∞‡","÷ÿ–ﬁ∏˙∞‡","÷ÿ–ﬁ∏˙∞‡","÷ÿ–ﬁ∏˙∞‡","÷ÿ–ﬁ∏˙∞‡","÷ÿ–ﬁ∏˙∞‡","÷ÿ–ﬁ∏˙∞‡"
"1","50","19.9599279261271","28.6079213640424","80.0565878195586","32.6142519835965","20.0596590806794","36.2898683762511","32.0162000335796","36.1880627774219","35.1729419761922","35.366355148443","22.0218522265823","26.1809345392874","79.0623988645744","31.1737090958695","18.5529231876007","35.7481445662444","29.6032716064568","36.6183814842159","34.6062723859749","34.5534216503569","21.736482624315","26.1324141035784","80.1665706120824","32.9352144116709","20.8638527227737","36.7173032054012","30.4048871360582","34.3298653116029","35.4687680746617","33.4262059339559","21.0692872032351","27.2120612938487","78.2751608546635","33.5994918589153","19.0875838067653","37.570608529836","28.9556790944275","36.5331915420428","32.8742183357506","33.2794140547378","20.7318913021453","25.5325928667503","77.3171668449254","33.6782214034048","20.3129322542554","36.9603407526304","29.4297251833598","36.2671036442554","35.0004599823948","34.0422578214356","23.4542862674271","25.170286935264","77.7939413582906","33.0508311524952","17.9901037091003","37.0029333605229","30.862933580672","36.2580759013667","34.0074402663764","35.1036019453457","20.1914363288288","26.4241135556495","77.4591068678087","33.69536387408","19.7543986999881","36.2753577180357","28.7862891059103"
"2","90","34.4441051534001","20.6349304243187","25.6447265550254","76.8280870558857","33.7595801439527","19.0627620990267","36.9213274360259","28.7323177196008","35.5255368197042","33.4902004348078","34.6667926873407","20.7556839419568","27.623096952318","80.619307845741","33.0319417135406","20.5322342905358","37.5379596245209","30.0089099701898","34.2595444662996","33.5481953941343","32.0000275739607","21.7375282333872","26.2819938517405","78.1966041650461","33.0588575157557","18.4891854901351","34.9707294139588","31.7561159278609","34.6389119867757","34.1308537429575","34.3716832123032","21.8201116844111","26.9875552826445","78.0690572528731","33.2298978038484","21.5391955239949","35.9513090894101","30.7473753336753","34.5408954341578","32.5997556792573","32.1202091319611","21.2836816138361","26.1609692657796","78.5119056404195","33.1234092231189","19.5974088154448","38.5644281231032","30.0482689461921","35.8654736365552","35.2841339677335","33.7727441701872","22.7283503901834","25.9171039670306","77.6940874419376","32.3248448900148","20.1331798423882","37.6989463301849","29.899615840579","35.1500166168021","35.1699704751472","36.7551465247017","22.4882587524114","26.3872536671913","78.6326595913083","33.4389201802997","20.636271018886","37.7123525522907"
"3","180","35.0018195010442","33.3559812765902","20.8478668516262","25.8216698366745","80.0302365181337","34.3900905317868","18.2669461922649","36.8395790158805","30.664956224865","33.2866510247291","33.3702249315672","35.139138085237","21.6648654775377","27.8229339316291","77.4942356886684","32.7153030439251","18.65155260336","37.6929878766774","29.6985439234116","35.6376007091839","34.3026832731407","35.5443870972345","22.7583415492704","27.2483023299991","78.0227270567207","35.1315905590179","19.9701629283831","37.101596267911","29.8835200700973","34.3060651680159","35.8770694546038","33.3471857453047","20.7115711630111","27.8912937482099","79.6306825069102","33.0796822756768","18.4635210632133","36.0026951454881","28.8512985763642","34.352057553699","34.608391836272","34.7651573376527","19.8439545887501","26.8863680378049","80.8725906463666","32.1626632465066","17.8251701283345","37.8475814880385","27.3816882642261","35.4513658975594","34.768871138229","32.9842859637651","23.9087446981974","27.4038607265907","78.4867344289731","33.2548245088599","21.7239054328945","37.2551407481842","31.4540704246534","35.6728939008492","36.4963205838738","35.5695857061914","20.4781196920698","27.811783344724","77.8741738752946","32.1702381850817","20.2994353185134"
"4","80","36.7915392619495","33.6944709355456","32.4106982961306","22.6096906187587","26.7494905766921","79.0569734912259","31.8589860814393","17.877060846492","36.2307973731041","30.2920665635063","35.5468863831024","35.6868071596895","32.1317014860073","21.5224572873705","26.7708979431251","80.2283434028554","32.5030520143379","19.2500212543542","38.6144507115007","30.7501859231655","34.9810247022036","34.7026587439939","32.4102035362309","21.2656514320425","27.2194859077636","77.9603874744701","32.1255981115582","19.9866854375942","35.9602144053056","29.2049246940096","33.912567406126","35.1071988997338","34.9141681240617","20.9955017061197","26.2861563280896","79.3396224425817","31.8783014722566","20.6832776418928","35.7509449975009","31.8563354166678","34.5674776808605","33.6351326549568","32.8494407513126","22.310099658509","26.146380617112","79.3248461862921","33.7436512508764","18.6825455308173","37.9623259337372","30.3837002124437","34.8725742898223","34.3104138038387","32.4755969802994","20.7202832187714","26.6456824694399","78.7015321522561","33.9880432044391","19.5687850693707","35.9722039631027","31.0655807936763","37.5734307003529","33.4986084887558","35.2657946641821","20.0930465945099","26.0717902803356","79.6387407769309","32.5204643404999"
"5","90","31.5092450801334","37.1781696568477","34.1004397208708","34.385478536784","21.6395097775626","26.6472158482897","78.0867779083812","32.9010702792856","18.9351909835921","36.3965084036521","30.327066948465","34.6210995662125","35.8014599188062","32.8090625077188","19.66767518451","27.4424040269629","80.5214898829231","32.3940142246826","19.5297684764409","37.5061818950463","30.0447573594938","35.6719173635915","35.0401106734315","32.794459004991","22.4115670404897","26.0038080724379","77.9132046077326","32.9565314994582","19.1389599879144","36.3362687431943","30.671710352936","35.6447387444084","34.2917961809841","32.6095174101702","21.2026165853757","25.936439155593","78.7978514811654","31.7100725271428","19.5475218010117","36.0366590691085","29.8204403454928","35.6415486036954","35.5298234712267","33.6646665304405","20.6575512602595","26.7170331669399","79.4428411024646","33.6490968002673","19.9223749439047","35.9784973550322","30.5914106072976","35.7899943400858","33.7446414531827","32.8637522564889","21.1199966275861","26.0614901969253","80.1919302386237","32.8151577060521","20.1492277403863","36.5329171605051","30.9268354657646","35.3425722624418","35.0089468174856","34.4424838695026","18.6463163199322","24.811134796671","77.1955217911755"
"6","70","36.5409860991659","31.1105763575611","36.03639119583","36.0955170691782","34.171193261038","23.0538278108724","27.5266114572023","77.8498436685401","33.3454453841427","21.6385745640609","36.8112836689316","31.5031852601904","34.8054590424856","34.6175189580501","33.9996452509582","21.8576725746595","26.8236959220556","79.7612476241569","34.8835124820764","17.9847377634892","37.9124179094337","29.4700017479604","34.3924176772892","35.584574818367","34.4375455405899","21.2042251272609","26.4490075363181","77.4009422026786","31.7346440807481","19.102054650713","35.8345529637435","29.3920371368576","36.2862851941358","33.7655276733818","32.2978147654688","20.7750901851315","26.9562800866424","76.9326419576276","31.553198285243","18.0913964817984","37.7980300476903","29.4332274281844","36.6819945278535","33.7922118048027","32.2754122168943","21.5485692954462","26.4779844848838","77.8121497962975","33.3218532193972","18.7822517341873","36.3847986343698","29.9179384765535","34.2025834937954","34.3501375166992","33.452937317084","20.9700459196641","27.1773581500577","79.1379838509937","31.3872212573414","19.3367366259926","36.8860809884961","29.6153237645845","35.9324691407075","32.886960378182","33.2030106708843","20.4347849766233","27.3766683009216"
